Year,Quarter,Auto_Loan,Credit_Card,HE_Revolving,Mortgage,Other,Student_Loan,Total
2019,Q4,1.331,0.927,0.39,9.557,0.432,1.508,14.145
2020,Q1,1.346,0.893,0.386,9.713,0.427,1.535,14.3
2020,Q2,1.343,0.817,0.375,9.776,0.418,1.537,14.266
2020,Q3,1.36,0.807,0.362,9.861,0.417,1.546,14.353
2020,Q4,1.374,0.819,0.349,10.043,0.419,1.555,14.559
2021,Q1,1.382,0.77,0.335,10.16,0.413,1.584,14.644
2021,Q2,1.415,0.787,0.322,10.442,0.421,1.57,14.957
2021,Q3,1.443,0.804,0.317,10.672,0.423,1.584,15.243
2021,Q4,1.458,0.856,0.318,10.93,0.438,1.576,15.576
2022,Q1,1.469,0.841,0.317,11.18,0.445,1.59,15.842
2022,Q2,1.502,0.887,0.319,11.387,0.47,1.589,16.154
2022,Q3,1.524,0.925,0.322,11.669,0.491,1.574,16.505
2022,Q4,1.552,0.986,0.336,11.923,0.507,1.595,16.899
2023,Q1,1.562,0.986,0.339,12.044,0.512,1.604,17.047
2023,Q2,1.582,1.031,0.34,12.014,0.527,1.569,17.063
2023,Q3,1.595,1.079,0.349,12.14,0.529,1.599,17.291
2023,Q4,1.607,1.129,0.36,12.252,0.554,1.601,17.503
2024,Q1,1.616,1.115,0.376,12.442,0.543,1.595,17.687
2024,Q2,1.626,1.142,0.38,12.519,0.544,1.585,17.796
2024,Q3,1.644,1.166,0.387,12.594,0.546,1.606,17.943
2024,Q4,1.655,1.211,0.396,12.605,0.554,1.615,18.036
2025,Q1,1.642,1.182,0.402,12.804,0.542,1.631,18.203
